 :---> 	 	 ::1  	 	 Time :--> 	 11:24:39 	 	 Date:--> 	 08 Jul 2017 
1 :---> 	 	 ::1  	 	 Time :--> 	 11:24:52 	 	 Date:--> 	 08 Jul 2017 
2 :---> 	 	 ::1  	 	 Time :--> 	 11:37:42 	 	 Date:--> 	 08 Jul 2017 
3 :---> 	 	 ::1  	 	 Time :--> 	 11:38:38 	 	 Date:--> 	 08 Jul 2017 
4 :---> 	 	 ::1  	 	 Time :--> 	 11:38:51 	 	 Date:--> 	 08 Jul 2017 
5 :---> 	 	 ::1  	 	 Time :--> 	 11:39:11 	 	 Date:--> 	 08 Jul 2017 
6 :---> 	 	 ::1  	 	 Time :--> 	 11:39:43 	 	 Date:--> 	 08 Jul 2017 
7 :---> 	 	 ::1  	 	 Time :--> 	 11:40:21 	 	 Date:--> 	 08 Jul 2017 
8 :---> 	 	 ::1  	 	 Time :--> 	 11:49:27 	 	 Date:--> 	 08 Jul 2017 
9 :---> 	 	 ::1  	 	 Time :--> 	 11:49:30 	 	 Date:--> 	 08 Jul 2017 
10 :---> 	 	 ::1  	 	 Time :--> 	 11:49:31 	 	 Date:--> 	 08 Jul 2017 
11 :---> 	 	 ::1  	 	 Time :--> 	 11:49:50 	 	 Date:--> 	 08 Jul 2017 
12 :---> 	 	 ::1  	 	 Time :--> 	 11:49:53 	 	 Date:--> 	 08 Jul 2017 
13 :---> 	 	 ::1  	 	 Time :--> 	 11:49:55 	 	 Date:--> 	 08 Jul 2017 
14 :---> 	 	 ::1  	 	 Time :--> 	 00:09:43 	 	 Date:--> 	 09 Jul 2017 
15 :---> 	 	 ::1  	 	 Time :--> 	 00:14:42 	 	 Date:--> 	 09 Jul 2017 
16 :---> 	 	 ::1  	 	 Time :--> 	 01:48:16 	 	 Date:--> 	 09 Jul 2017 
17 :---> 	 	 ::1  	 	 Time :--> 	 14:26:15 	 	 Date:--> 	 08 Jul 2017 
18 :---> 	 	 ::1  	 	 Time :--> 	 14:36:38 	 	 Date:--> 	 08 Jul 2017 
19 :---> 	 	 ::1  	 	 Time :--> 	 14:36:49 	 	 Date:--> 	 08 Jul 2017 
20 :---> 	 	 ::1  	 	 Time :--> 	 14:37:05 	 	 Date:--> 	 08 Jul 2017 
21 :---> 	 	 ::1  	 	 Time :--> 	 14:37:09 	 	 Date:--> 	 08 Jul 2017 
22 :---> 	 	 ::1  	 	 Time :--> 	 19:57:31 	 	 Date:--> 	 08 Jul 2017 
23 :---> 	 	 ::1  	 	 Time :--> 	 21:17:44 	 	 Date:--> 	 08 Jul 2017 
24 :---> 	 	 ::1  	 	 Time :--> 	 21:17:44 	 	 Date:--> 	 08 Jul 2017 
25 :---> 	 	 ::1  	 	 Time :--> 	 21:28:35 	 	 Date:--> 	 08 Jul 2017 
26 :---> 	 	 ::1  	 	 Time :--> 	 06:56:46 	 	 Date:--> 	 09 Jul 2017 
27 :---> 	 	 ::1  	 	 Time :--> 	 07:03:34 	 	 Date:--> 	 09 Jul 2017 
28 :---> 	 	 ::1  	 	 Time :--> 	 07:33:53 	 	 Date:--> 	 09 Jul 2017 
29 :---> 	 	 ::1  	 	 Time :--> 	 07:37:37 	 	 Date:--> 	 09 Jul 2017 
30 :---> 	 	 ::1  	 	 Time :--> 	 07:38:21 	 	 Date:--> 	 09 Jul 2017 
31 :---> 	 	 ::1  	 	 Time :--> 	 08:02:05 	 	 Date:--> 	 09 Jul 2017 
32 :---> 	 	 ::1  	 	 Time :--> 	 08:05:36 	 	 Date:--> 	 09 Jul 2017 
33 :---> 	 	 ::1  	 	 Time :--> 	 13:12:12 	 	 Date:--> 	 10 Jul 2017 
34 :---> 	 	 ::1  	 	 Time :--> 	 13:13:20 	 	 Date:--> 	 10 Jul 2017 
35 :---> 	 	 ::1  	 	 Time :--> 	 13:13:59 	 	 Date:--> 	 10 Jul 2017 
36 :---> 	 	 ::1  	 	 Time :--> 	 13:14:30 	 	 Date:--> 	 10 Jul 2017 
37 :---> 	 	 ::1  	 	 Time :--> 	 13:14:54 	 	 Date:--> 	 10 Jul 2017 
38 :---> 	 	 ::1  	 	 Time :--> 	 13:15:26 	 	 Date:--> 	 10 Jul 2017 
39 :---> 	 	 ::1  	 	 Time :--> 	 13:17:04 	 	 Date:--> 	 10 Jul 2017 
40 :---> 	 	 ::1  	 	 Time :--> 	 13:17:21 	 	 Date:--> 	 10 Jul 2017 
41 :---> 	 	 ::1  	 	 Time :--> 	 13:18:25 	 	 Date:--> 	 10 Jul 2017 
42 :---> 	 	 ::1  	 	 Time :--> 	 13:18:32 	 	 Date:--> 	 10 Jul 2017 
43 :---> 	 	 ::1  	 	 Time :--> 	 13:18:54 	 	 Date:--> 	 10 Jul 2017 
44 :---> 	 	 ::1  	 	 Time :--> 	 13:19:29 	 	 Date:--> 	 10 Jul 2017 
45 :---> 	 	 ::1  	 	 Time :--> 	 13:19:34 	 	 Date:--> 	 10 Jul 2017 
46 :---> 	 	 ::1  	 	 Time :--> 	 13:19:45 	 	 Date:--> 	 10 Jul 2017 
47 :---> 	 	 ::1  	 	 Time :--> 	 13:19:59 	 	 Date:--> 	 10 Jul 2017 
48 :---> 	 	 ::1  	 	 Time :--> 	 13:20:58 	 	 Date:--> 	 10 Jul 2017 
49 :---> 	 	 ::1  	 	 Time :--> 	 13:34:16 	 	 Date:--> 	 10 Jul 2017 
50 :---> 	 	 ::1  	 	 Time :--> 	 13:34:51 	 	 Date:--> 	 10 Jul 2017 
51 :---> 	 	 ::1  	 	 Time :--> 	 13:35:16 	 	 Date:--> 	 10 Jul 2017 
52 :---> 	 	 ::1  	 	 Time :--> 	 13:35:30 	 	 Date:--> 	 10 Jul 2017 
53 :---> 	 	 ::1  	 	 Time :--> 	 10:42:15 	 	 Date:--> 	 20 Jul 2017 
54 :---> 	 	 ::1  	 	 Time :--> 	 10:44:25 	 	 Date:--> 	 20 Jul 2017 
55 :---> 	 	 ::1  	 	 Time :--> 	 16:48:29 	 	 Date:--> 	 27 Oct 2017 
56 :---> 	 	 ::1  	 	 Time :--> 	 10:12:38 	 	 Date:--> 	 28 Nov 2017 
57 :---> 	 	 ::1  	 	 Time :--> 	 10:13:18 	 	 Date:--> 	 28 Nov 2017 
58 :---> 	 	 ::1  	 	 Time :--> 	 10:13:45 	 	 Date:--> 	 28 Nov 2017 
59 :---> 	 	 ::1  	 	 Time :--> 	 10:14:36 	 	 Date:--> 	 28 Nov 2017 
60 :---> 	 	 ::1  	 	 Time :--> 	 10:47:50 	 	 Date:--> 	 28 Nov 2017 
61 :---> 	 	 ::1  	 	 Time :--> 	 14:57:33 	 	 Date:--> 	 28 Nov 2017 
62 :---> 	 	 ::1  	 	 Time :--> 	 15:16:54 	 	 Date:--> 	 28 Nov 2017 
63 :---> 	 	 ::1  	 	 Time :--> 	 15:54:29 	 	 Date:--> 	 28 Nov 2017 
64 :---> 	 	 ::1  	 	 Time :--> 	 18:57:22 	 	 Date:--> 	 28 Nov 2017 
65 :---> 	 	 ::1  	 	 Time :--> 	 18:59:37 	 	 Date:--> 	 28 Nov 2017 
66 :---> 	 	 ::1  	 	 Time :--> 	 01:12:12 	 	 Date:--> 	 29 Nov 2017 
67 :---> 	 	 ::1  	 	 Time :--> 	 01:18:02 	 	 Date:--> 	 29 Nov 2017 
68 :---> 	 	 ::1  	 	 Time :--> 	 05:05:00 	 	 Date:--> 	 30 Nov 2017 
69 :---> 	 	 ::1  	 	 Time :--> 	 02:41:02 	 	 Date:--> 	 01 Dec 2017 
70 :---> 	 	 ::1  	 	 Time :--> 	 03:21:19 	 	 Date:--> 	 01 Dec 2017 
